Year,Geography,Selection Filter,Selection Value,Max. % Total Population,Max. Sub-Population,Max. Total Population
2011,Mason,Age,<1,1.085892883,663.6,61111
2011,Lincoln,Age,<1,0.954159163,100.98,
2011,Lewis,Age,<1,1.219569176,929.21,
2011,Klickitat,Age,<1,1.030314381,211.24,
2011,Kittitas,Age,<1,1.115319604,458.92,
2011,Kitsap,Age,<1,1.126790562,2865.28,
2011,King,Age,<1,1.273516285,24752.17,
2011,Jefferson,Age,<1,0.640451426,192.97,
2011,Island,Age,<1,1.205556413,951.72,
2011,Grays Harbor,Age,<1,1.061286795,774.65,
2011,Grant,Age,<1,1.795136971,1615.85,
2011,Garfield,Age,<1,0.57652802,13.05,
2011,Franklin,Age,<1,2.03162299,1634.91,
2011,Ferry,Age,<1,0.838199584,63.1,
2011,Douglas,Age,<1,1.319314023,508.88,
2011,Cowlitz,Age,<1,1.163703947,1195.42,
2011,Columbia,Age,<1,0.904569955,36.87,
2011,Clark,Age,<1,1.27740175,5472.74,
2011,Clallam,Age,<1,0.968984403,694.15,
2011,Chelan,Age,<1,1.389938985,1009.82,
2011,Benton,Age,<1,1.427065601,2540.23,
2011,Asotin,Age,<1,1.080639714,233.59,
2011,Adams,Age,<1,2.247008609,426.32,
2011,Washington State,Race/Ethnicity,White Only-NH,72,4877215.33,
2011,Yakima,Race/Ethnicity,White Only-NH,47.09074539,115199.15,
2011,Whitman,Race/Ethnicity,White Only-NH,82.03375306,36434.75,
2011,Whatcom,Race/Ethnicity,White Only-NH,81.46374557,164553.98,
2011,Walla Walla,Race/Ethnicity,White Only-NH,73.80937521,43401.47,
2011,Wahkiakum,Race/Ethnicity,White Only-NH,92.16406968,3708.59,
2011,Thurston,Race/Ethnicity,White Only-NH,78.3783411,199461.38,
2011,Stevens,Race/Ethnicity,White Only-NH,87.63782787,38259.88,
2011,Spokane,Race/Ethnicity,White Only-NH,86.25945612,409145.49,
2011,Snohomish,Race/Ethnicity,White Only-NH,73.72820614,528465.18,
2011,Skamania,Race/Ethnicity,White Only-NH,89.36629248,9912.25,
2011,Skagit,Race/Ethnicity,White Only-NH,76.38624802,89610.22,
2011,San Juan,Race/Ethnicity,White Only-NH,89.80863524,14323.22,
2011,Pierce,Race/Ethnicity,White Only-NH,69.81687855,561430.46,
2011,Pend Oreille,Race/Ethnicity,White Only-NH,89.81108779,11638.08,
2011,Pacific,Race/Ethnicity,White Only-NH,84.21349225,17723.58,
2011,Okanogan,Race/Ethnicity,White Only-NH,68.03439267,27966.51,
2011,Mason,Race/Ethnicity,White Only-NH,82.41634076,50365.45,61111
2011,Lincoln,Race/Ethnicity,White Only-NH,93.12170112,9855.2,
2011,Lewis,Race/Ethnicity,White Only-NH,85.44563801,65102.45,
2011,Klickitat,Race/Ethnicity,White Only-NH,83.27519403,17073.48,
2011,Kittitas,Race/Ethnicity,White Only-NH,85.4323346,35152.8,
2011,Kitsap,Race/Ethnicity,White Only-NH,78.71091082,200151.48,
2011,King,Race/Ethnicity,White Only-NH,64.23247678,1248427.84,
2011,Jefferson,Race/Ethnicity,White Only-NH,89.20847479,26878.79,
2011,Island,Race/Ethnicity,White Only-NH,82.61935036,65223.4,
2011,Grays Harbor,Race/Ethnicity,White Only-NH,80.99173905,59117.15,
2011,Grant,Race/Ethnicity,White Only-NH,56.81646009,51141.99,
2011,Garfield,Race/Ethnicity,White Only-NH,91.61891719,2073.84,
2011,Franklin,Race/Ethnicity,White Only-NH,43.00579945,34608.1,
2011,Ferry,Race/Ethnicity,White Only-NH,74.71373691,5624.48,
2011,Douglas,Race/Ethnicity,White Only-NH,67.21053025,25924.15,
2011,Cowlitz,Race/Ethnicity,White Only-NH,85.28337284,87607.72,
2011,Columbia,Race/Ethnicity,White Only-NH,89.50556555,3648.22,
2011,Clark,Race/Ethnicity,White Only-NH,81.19424042,347858.43,
2011,Clallam,Race/Ethnicity,White Only-NH,84.2660608,60365.56,
2011,Chelan,Race/Ethnicity,White Only-NH,70.46841448,51196.79,
2011,Benton,Race/Ethnicity,White Only-NH,73.81658238,131396.27,
2011,Asotin,Race/Ethnicity,White Only-NH,92.29294177,19949.95,
2011,Adams,Race/Ethnicity,White Only-NH,38.14728258,7237.6,
2011,Washington State,Race/Ethnicity,Pacific Islander Only-NH,0.6,40588.05,
2011,Yakima,Race/Ethnicity,Pacific Islander Only-NH,0.060956804,149.12,244632
2011,Whitman,Race/Ethnicity,Pacific Islander Only-NH,0.240845637,106.97,44414
2011,Whatcom,Race/Ethnicity,Pacific Islander Only-NH,0.235687159,476.08,201997
2011,Walla Walla,Race/Ethnicity,Pacific Islander Only-NH,0.258868262,152.22,58802
2011,Wahkiakum,Race/Ethnicity,Pacific Islander Only-NH,0.134943711,5.43,4024
2011,Thurston,Race/Ethnicity,Pacific Islander Only-NH,0.772586773,1966.12,254485
2011,Stevens,Race/Ethnicity,Pacific Islander Only-NH,0.143024651,62.44,43657
2011,Spokane,Race/Ethnicity,Pacific Islander Only-NH,0.419350177,1989.06,474320
2011,Snohomish,Race/Ethnicity,Pacific Islander Only-NH,0.435573367,3122.08,716775
2011,Skamania,Race/Ethnicity,Pacific Islander Only-NH,0.094665295,10.5,11092
2011,Skagit,Race/Ethnicity,Pacific Islander Only-NH,0.163615003,191.94,117312
